"MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","RaceNum","Num","KettoNum","Bamei","UmaKigoCD","SexCD","TozaiCD","ChokyosiCode","ChokyosiRyakusyo","Futan","Koryu"
"20240115","2024","0120","10","01","03","11","009","2020102932","タロントゥーズ","00","1","2","01058","大久保龍","570","0",
"20240115","2024","0120","10","01","03","11","010","2018110119","トップスターサン","06","1","2","01184","四位洋文","580","0",
"20240115","2024","0120","10","01","03","11","011","2020102045","フェルヴェンテ","00","1","2","00425","加用正","570","0",
"20240115","2024","0120","10","01","03","11","012","2019104118","ベイパーコーン","05","3","2","01111","鈴木孝志","580","0",
"20240115","2024","0120","10","01","03","11","013","2020101766","ミヤジシャルマン","00","1","2","01003","川村禎彦","570","0",
"20240115","2024","0120","10","01","03","11","014","2020106635","メイショウシナノ","00","1","2","01065","大橋勇樹","570","0",
"20240115","2024","0120","10","01","03","11","015","2019103017","リースタル","00","2","2","01142","森田直行","560","0",
"20240115","2024","0120","10","01","03","11","016","2020106579","ルナビス","00","2","2","01142","森田直行","550","0",
"20240115","2024","0120","10","01","03","11","017","2019102585","ワンダーブレット","00","3","2","01104","笹田和秀","580","0",
"20240115","2024","0121","06","01","07","09","001","2021105397","アフィリオン","00","1","1","01079","古賀慎明","570","0",
"20240115","2024","0121","06","01","07","09","002","2021105625","アレグロブリランテ","00","1","1","01192","上原佑紀","570","0",
"20240115","2024","0121","06","01","07","09","003","2021107085","ウインアクトゥール","00","1","1","01127","栗田徹","570","0",
"20240115","2024","0121","06","01","07","09","004","2021102800","キャントウェイト","00","1","1","01024","萱野浩二","570","0",
"20240115","2024","0121","06","01","07","09","005","2021101453","サトノオラシオン","00","1","1","01070","堀宣行","570","0",
"20240115","2024","0121","06","01","07","09","006","2021105688","セブンマイスター","00","1","1","01126","木村哲也","570","0",
"20240115","2024","0121","06","01","07","09","007","2021105486","トロピカルティー","00","2","1","01163","林徹","550","0",
"20240115","2024","0121","06","01","07","09","008","2021102895","ナムラエイハブ","00","1","2","01173","長谷川浩","570","0",
