"RecordSpec","DataKubun","MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","YoubiCD","Jyusyo1TokuNum","Jyusyo1Hondai","Jyusyo1Ryakusyo10","Jyusyo1Ryakusyo6","Jyusyo1Ryakusyo3","Jyusyo1Nkai","Jyusyo1GradeCD","Jyusyo1SyubetuCD","Jyusyo1KigoCD","Jyusyo1JyuryoCD","Jyusyo1Kyori","Jyusyo1TrackCD","Jyusyo2TokuNum","Jyusyo2Hondai","Jyusyo2Ryakusyo10","Jyusyo2Ryakusyo6","Jyusyo2Ryakusyo3","Jyusyo2Nkai","Jyusyo2GradeCD","Jyusyo2SyubetuCD","Jyusyo2KigoCD","Jyusyo2JyuryoCD","Jyusyo2Kyori","Jyusyo2TrackCD","Jyusyo3TokuNum","Jyusyo3Hondai","Jyusyo3Ryakusyo10","Jyusyo3Ryakusyo6","Jyusyo3Ryakusyo3","Jyusyo3Nkai","Jyusyo3GradeCD","Jyusyo3SyubetuCD","Jyusyo3KigoCD","Jyusyo3JyuryoCD","Jyusyo3Kyori","Jyusyo3TrackCD"
"YS","1","20231208","2024","0428","04","01","02","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0428","05","02","04","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0428","08","03","04","2","0006","天皇賞（春）","天皇賞（春）","天皇賞（春）","天皇賞","169","A","14","N01","4","3200","18","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0504","04","01","03","3","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0504","05","02","05","3","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0504","08","03","05","3","0053","京都新聞杯","京都新聞杯","京都新聞杯","京都新","072","B","12","N01","3","2200","18","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0505","04","01","04","3","0094","新潟大賞典","新潟大賞典","新潟大賞典","新潟大","046","C","14","N04","1","2000","12","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0505","05","02","06","3","0017","ＮＨＫマイルカップ","ＮＨＫマイルカップ","ＮＨＫマイル","ＮＨＫ","029","A","12","N41","3","1600","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0505","08","03","06","3","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0511","04","01","05","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
