"RecordSpec","DataKubun","MakeDate","KettoNum","HansyokuFNum","HansyokuMNum","BirthYear","SaleCode","SaleHostName","SaleName","FromDate","ToDate","Barei","Price"
"HS","1","20070808","1996100382","11200670","12222730","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0001050000",
"HS","1","20070808","1996100424","11201461","12234060","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0018900000",
"HS","1","20070808","1996100430","11201503","12236916","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0010395000",
"HS","1","20070808","1996100441","11201520","12235564","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0007455000",
"HS","1","20070808","1996100457","11201507","12236899","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0019005000",
"HS","1","20070808","1996100458","11201157","12230613","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0003885000",
"HS","1","20070808","1996100459","11201511","12220288","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0020055000",
"HS","1","20070808","1996100460","11200994","12235566","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0001050000",
"HS","1","20070808","1996100469","11201381","12232073","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0008085000",
"HS","1","20070808","1996100470","11201071","12230558","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0006300000",
"HS","1","20070808","1996100475","11201467","12222363","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0002205000",
"HS","1","20070808","1996100478","11201417","12236902","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0014700000",
"HS","1","20070808","1996100482","11200761","12233255","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0005775000",
"HS","1","20070808","1996100505","11201439","12237687","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0016485000",
"HS","1","20070808","1996100510","11201234","12229431","1996","001012","日高軽種馬農業協同組合","北海道６月セレクト市場","19970603","19970603","1","0005355000",
"HS","1","20070808","1996100512","11200761","12229098","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0006405000",
"HS","1","20070808","1996100521","11200761","12235572","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0002625000",
"HS","1","20070808","1996100522","11201513","12238275","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0021105000",
"HS","1","20070808","1996100598","11201390","12228946","1996","001012","日高軽種馬農業協同組合","北海道６月セレクト市場","19970603","19970603","1","0007455000",
"HS","1","20070808","1996100633","11201273","12235974","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0004305000",
"HS","1","20070808","1996100636","11201325","12227748","1996","001019","日高軽種馬農業協同組合","北海道４月３歳トレーニングセール","19980421","19980421","2","0007035000",
"HS","1","20070808","1996100640","11201449","12225658","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0015855000",
"HS","1","20070808","1996100656","11200908","12231393","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005250000",
"HS","1","20070808","1996100666","11201050","12224064","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0011340000",
"HS","1","20070808","1996100668","11200955","12224090","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0006405000",
"HS","1","20070808","1996100680","11200670","12228071","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0005932500",
"HS","1","20070808","1996100681","11200761","12232110","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0006300000",
"HS","1","20070808","1996100688","11201237","12218848","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0007035000",
"HS","1","20070808","1996100691","11201513","12222849","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005880000",
"HS","1","20070808","1996100701","11201182","12224484","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0007455000",
"HS","1","20070808","1996100702","11200908","12236262","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0002625000",
"HS","1","20070808","1996100704","11200715","12227690","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0011760000",
